Team_ID,Rk,Stage,Squad,MP,W,D,L,GF,GA,GD,Pts,Year,Is_Winner
8,28,GR,ua Dynamo Kyiv,6.0,1.0,2.0,3.0,7.0,9.0,-2.0,5.0,2010,0
78,29,GR,be Standard Liège,6.0,1.0,2.0,3.0,7.0,9.0,-2.0,5.0,2010,0
79,30,GR,nl AZ Alkmaar,6.0,0.0,4.0,2.0,4.0,8.0,-4.0,4.0,2010,0
27,31,GR,tr Beşiktaş,6.0,1.0,1.0,4.0,3.0,8.0,-5.0,4.0,2010,0
20,32,GR,sct Rangers,6.0,0.0,2.0,4.0,4.0,13.0,-9.0,2.0,2010,0
39,1,W,es Barcelona,13.0,8.0,4.0,1.0,30.0,9.0,21.0,28.0,2011,1
17,2,F,eng Manchester Utd,13.0,6.0,6.0,1.0,19.0,7.0,12.0,24.0,2011,0
21,3,SF,es Real Madrid,12.0,7.0,4.0,1.0,25.0,6.0,19.0,25.0,2011,0
51,4,SF,de Schalke 04,12.0,5.0,4.0,3.0,22.0,14.0,8.0,19.0,2011,0
40,5,QF,ua Shakhtar,10.0,6.0,2.0,2.0,19.0,14.0,5.0,20.0,2011,0
25,6,QF,eng Chelsea,10.0,6.0,1.0,3.0,17.0,7.0,10.0,19.0,2011,0
80,7,QF,eng Tottenham,12.0,4.0,5.0,3.0,25.0,19.0,6.0,17.0,2011,0
7,8,QF,it Inter,10.0,4.0,1.0,5.0,18.0,21.0,-3.0,13.0,2011,0
2,9,R16,de Bayern Munich,8.0,6.0,1.0,1.0,19.0,9.0,10.0,19.0,2011,0
5,10,R16,eng Arsenal,8.0,5.0,0.0,3.0,21.0,11.0,10.0,15.0,2011,0
59,11,R16,dk FC Copenhagen,12.0,3.0,5.0,4.0,12.0,11.0,1.0,14.0,2011,0
23,12,R16,fr Marseille,8.0,4.0,1.0,3.0,13.0,5.0,8.0,13.0,2011,0
42,13,R16,es Valencia,8.0,3.0,3.0,2.0,17.0,8.0,9.0,12.0,2011,0
1,14,R16,fr Lyon,8.0,3.0,2.0,3.0,12.0,14.0,-2.0,11.0,2011,0
35,15,R16,it Roma,8.0,3.0,1.0,4.0,12.0,17.0,-5.0,10.0,2011,0
29,16,R16,it Milan,8.0,2.0,3.0,3.0,7.0,8.0,-1.0,9.0,2011,0
86,17,GR,pt Braga,10.0,6.0,0.0,4.0,14.0,16.0,-2.0,18.0,2011,0
82,18,GR,il Hapoel Tel Aviv,12.0,4.0,4.0,4.0,20.0,15.0,5.0,16.0,2011,0
65,19,GR,ch Basel,10.0,5.0,1.0,4.0,17.0,12.0,5.0,16.0,2011,0
24,20,GR,rs Partizan,12.0,4.0,2.0,6.0,15.0,19.0,-4.0,14.0,2011,0
32,21,GR,nl Ajax,10.0,2.0,5.0,3.0,13.0,16.0,-3.0,11.0,2011,0
55,22,GR,ru Spartak Moscow,6.0,3.0,0.0,3.0,7.0,10.0,-3.0,9.0,2011,0
41,23,GR,de Werder Bremen,8.0,2.0,2.0,4.0,11.0,16.0,-5.0,8.0,2011,0
84,24,GR,sk MŠK Žilina,12.0,1.0,4.0,7.0,13.0,22.0,-9.0,7.0,2011,0
81,25,GR,nl Twente,6.0,1.0,3.0,2.0,9.0,11.0,-2.0,6.0,2011,0
76,26,GR,ru Rubin Kazan,6.0,1.0,3.0,2.0,2.0,4.0,-2.0,6.0,2011,0
20,27,GR,sct Rangers,6.0,1.0,3.0,2.0,3.0,6.0,-3.0,6.0,2011,0
49,28,GR,pt Benfica,6.0,2.0,0.0,4.0,7.0,12.0,-5.0,6.0,2011,0
63,29,GR,ro CFR Cluj,6.0,1.0,1.0,4.0,6.0,12.0,-6.0,4.0,2011,0
85,30,GR,fr Auxerre,8.0,1.0,1.0,6.0,5.0,13.0,-8.0,4.0,2011,0
19,31,GR,gr Panathinaikos,6.0,0.0,2.0,4.0,2.0,13.0,-11.0,2.0,2011,0
83,32,GR,tr Bursaspor,6.0,0.0,1.0,5.0,2.0,16.0,-14.0,1.0,2011,0
25,1,W,eng Chelsea,13.0,5.0,6.0,2.0,25.0,12.0,13.0,21.0,2012,1
2,2,F,de Bayern Munich,15.0,8.0,4.0,3.0,29.0,11.0,18.0,28.0,2012,0
21,3,SF,es Real Madrid,12.0,7.0,4.0,1.0,35.0,9.0,26.0,25.0,2012,0
39,4,SF,es Barcelona,12.0,6.0,5.0,1.0,35.0,10.0,25.0,23.0,2012,0
49,5,QF,pt Benfica,14.0,4.0,7.0,3.0,21.0,14.0,7.0,19.0,2012,0
