Squad,Participaciones,W_t,D_t,L_t,GF_t,GA_t,GD_t,Pts_t,Stage_pts_t,Titulos
de M'Gladbach,3,4.0,6.0,10.0,29.0,37.0,-8.0,18.0,2.0,0
de Leverkusen,8,23.0,14.0,27.0,92.0,97.0,-5.0,83.0,10.0,0
de Hoffenheim,1,0.0,3.0,3.0,11.0,14.0,-3.0,3.0,0.0,0
de Hamburger SV,1,1.0,2.0,5.0,8.0,16.0,-8.0,5.0,0.0,0
de Eint Frankfurt,1,3.0,1.0,4.0,7.0,13.0,-6.0,10.0,2.0,0
de Dortmund,11,39.0,21.0,33.0,158.0,125.0,33.0,138.0,22.0,0
cz Viktoria Plzeň,4,12.0,7.0,17.0,60.0,80.0,-20.0,43.0,0.0,0
cz Sparta Prague,3,5.0,8.0,13.0,21.0,39.0,-18.0,23.0,2.0,0
cz Slavia Prague,2,3.0,6.0,7.0,12.0,27.0,-15.0,15.0,0.0,0
cy Anorthosis,1,5.0,3.0,4.0,18.0,12.0,6.0,18.0,0.0,0
cy APOEL FC,4,8.0,17.0,19.0,46.0,59.0,-13.0,41.0,3.0,0
ch Zürich,1,3.0,2.0,5.0,15.0,18.0,-3.0,11.0,0.0,0
ch Young Boys,2,2.0,3.0,7.0,11.0,24.0,-13.0,9.0,0.0,0
ch Thun,1,4.0,2.0,4.0,11.0,11.0,0.0,14.0,0.0,0
ch Basel,7,22.0,14.0,24.0,77.0,95.0,-18.0,80.0,6.0,0
by BATE Borisov,5,17.0,22.0,21.0,62.0,92.0,-30.0,73.0,0.0,0
bg Ludogorets,2,3.0,7.0,8.0,19.0,33.0,-14.0,16.0,0.0,0
bg Levski Sofia,1,3.0,1.0,6.0,9.0,19.0,-10.0,10.0,0.0,0
be Standard Liège,1,1.0,2.0,3.0,7.0,9.0,-2.0,5.0,0.0,0
be Gent,1,3.0,1.0,4.0,10.0,11.0,-1.0,10.0,2.0,0
be Genk,2,1.0,6.0,9.0,13.0,41.0,-28.0,9.0,0.0,0
be Club Brugge,8,13.0,14.0,27.0,49.0,89.0,-40.0,53.0,2.0,0
be Anderlecht,8,15.0,13.0,34.0,67.0,103.0,-36.0,58.0,0.0,0
az Qarabağ FK,1,0.0,2.0,4.0,2.0,14.0,-12.0,2.0,0.0,0
at Rapid Wien,1,3.0,1.0,6.0,14.0,19.0,-5.0,10.0,0.0,0
de RB Leipzig,5,18.0,5.0,15.0,66.0,70.0,-4.0,59.0,8.0,0
de Stuttgart,3,8.0,6.0,10.0,28.0,34.0,-6.0,30.0,4.0,0
fr Paris S-G,12,58.0,23.0,28.0,223.0,122.0,101.0,197.0,31.0,0
de Werder Bremen,6,18.0,9.0,19.0,72.0,80.0,-8.0,63.0,4.0,0
fr Montpellier,1,0.0,2.0,4.0,6.0,12.0,-6.0,2.0,0.0,0
at RB Salzburg,4,7.0,7.0,12.0,41.0,53.0,-12.0,28.0,2.0,0
fr Marseille,9,20.0,7.0,37.0,71.0,88.0,-17.0,67.0,5.0,0
fr Lyon,13,51.0,34.0,31.0,188.0,141.0,47.0,187.0,29.0,0
fr Lille,6,10.0,13.0,21.0,37.0,51.0,-14.0,43.0,4.0,0
fr Bordeaux,3,10.0,5.0,7.0,25.0,24.0,1.0,35.0,3.0,0
fr Auxerre,1,1.0,1.0,6.0,5.0,13.0,-8.0,4.0,0.0,0
es Villarreal,4,13.0,16.0,15.0,50.0,53.0,-3.0,55.0,11.0,0
es Valencia,9,27.0,18.0,25.0,103.0,85.0,18.0,99.0,9.0,0
es Sevilla,8,27.0,17.0,18.0,94.0,82.0,12.0,98.0,11.0,0
es Real Sociedad,2,3.0,5.0,8.0,13.0,20.0,-7.0,14.0,2.0,0
es Málaga,1,4.0,6.0,2.0,18.0,9.0,9.0,18.0,3.0,0
es La Coruña,2,8.0,6.0,8.0,23.0,26.0,-3.0,30.0,4.0,0
es Celta Vigo,1,3.0,3.0,4.0,12.0,13.0,-1.0,12.0,2.0,0
es Betis,1,3.0,2.0,3.0,6.0,9.0,-3.0,11.0,0.0,0
es Atlético Madrid,12,49.0,35.0,29.0,149.0,106.0,43.0,182.0,29.0,0
